Country,Count
USA,573
China,167
Japan,159
United Kingdom,144
Germany,115
France,109
Italy,96
Spain,81
Canada,72
South Korea,72
Australia,58
Taiwan,46
Brazil,36
India,31
Netherlands,29
Switzerland,26
Sweden,24
Austria,24
Israel,22
Finland,20
Turkey,20
Belgium,20
Poland,18
Iran,16
Ireland,16
Portugal,14
Greece,14
Hong Kong,12
Norway,12
New Zealand,12
Hungary,12
Denmark,12
South Africa,10
Czech Republic,10
Russia,9
Saudi Arabia,8
Egypt,8
Chile,8
Argentina,7
Thailand,6
Malaysia,6
Singapore,5
Colombia,4
Mexico,4
Slovenia,4
Romania,3
Lebanon,2
Croatia,2
Estonia,2
Slovak Republic,2
Iceland,2
Serbia,2
Bulgaria,2
Lithuania,2
Uganda,2
United Arab Emirates,2
Uruguay,2
Cyprus,2
Puerto Rico,2
